,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
648,2445750,202207,3,35,355030,N,8220200,-1,212420,101,9,35.0,40.0,1,1,0,1,40,0,0,0,11500.0,10,0,1,202207,0,5,11500.0,Analista de Suporte Computacional
649,2445758,202207,3,35,355030,N,8211300,1,212420,101,9,32.0,40.0,1,1,0,1,97,0,0,0,15070.0,8,0,1,202207,0,5,15070.0,Analista de Suporte Computacional
650,2445765,202207,3,35,355030,J,6319400,-1,212420,101,9,29.0,44.0,6,1,0,1,40,0,0,0,2569.79,8,0,1,202207,0,5,2569.79,Analista de Suporte Computacional
651,2445768,202207,3,35,355030,N,7739099,1,212420,101,9,25.0,44.0,3,1,0,1,97,0,0,0,4191.95,6,0,1,202207,0,5,4191.95,Analista de Suporte Computacional
652,2445772,202207,3,35,355030,J,6311900,-1,212420,101,9,44.0,40.0,3,1,0,1,40,0,0,0,8516.0,9,0,1,202207,0,5,8516.0,Analista de Suporte Computacional
653,2445774,202207,3,35,355030,J,6203100,1,212420,101,8,22.0,40.0,1,3,0,1,97,0,0,0,5109.0,10,0,1,202207,0,5,5109.0,Analista de Suporte Computacional
654,2445776,202207,3,35,355030,C,1359600,1,212420,101,7,32.0,44.0,2,1,0,1,97,0,0,0,2800.0,6,0,1,202207,0,5,2800.0,Analista de Suporte Computacional
655,2445778,202207,3,35,355030,G,4651601,1,212420,101,8,36.0,44.0,1,1,0,1,97,0,0,9,7500.0,7,0,1,202207,0,5,7500.0,Analista de Suporte Computacional
656,2445780,202207,3,35,355030,J,6204000,-1,212420,101,9,35.0,40.0,3,1,0,1,31,0,0,0,4935.09,7,0,1,202207,0,5,4935.09,Analista de Suporte Computacional
657,2445782,202207,3,35,355030,G,4691500,-1,212420,101,7,25.0,44.0,3,1,0,1,40,0,0,0,2463.0,6,0,1,202207,0,5,2463.0,Analista de Suporte Computacional
658,2445785,202207,3,35,355030,J,6204000,-1,212420,105,9,42.0,40.0,1,1,0,1,31,0,0,0,5399.92,5,0,1,202207,0,5,5399.92,Analista de Suporte Computacional
659,2445789,202207,3,35,355030,N,8211300,1,212420,101,8,27.0,40.0,2,1,0,1,97,0,0,0,4800.0,10,0,1,202207,0,5,4800.0,Analista de Suporte Computacional
660,2445796,202207,3,35,355030,J,6311900,-1,212420,101,8,31.0,40.0,3,1,0,1,31,0,0,0,4538.22,8,0,1,202207,0,5,4538.22,Analista de Suporte Computacional
661,2445797,202207,3,35,355030,J,6204000,-1,212420,101,9,33.0,40.0,1,1,0,1,40,0,0,0,1749.81,10,0,1,202207,0,5,1749.81,Analista de Suporte Computacional
662,2445800,202207,3,35,355030,G,4651601,1,212420,101,7,23.0,44.0,1,1,0,1,97,0,0,0,1600.0,2,0,1,202207,0,5,1600.0,Analista de Suporte Computacional
663,2445802,202207,3,35,355030,J,6311900,-1,212420,101,7,45.0,40.0,3,1,0,1,31,0,0,0,2200.0,6,0,1,202207,0,5,2200.0,Analista de Suporte Computacional
664,2445803,202207,3,35,355030,S,9511800,1,212420,101,9,40.0,44.0,2,1,0,1,97,0,0,0,2500.0,4,0,1,202207,0,5,2500.0,Analista de Suporte Computacional
665,2445806,202207,3,35,355030,M,7319002,1,212420,101,8,19.0,40.0,1,1,0,1,97,0,0,0,3359.08,8,0,1,202207,0,5,3359.08,Analista de Suporte Computacional
